id,related
Sa1,SCCS: Cuna (Tule) [SCCS158]
Ae13,
Sa10,
Sa11,
Sa12,
Sa13,SCCS: Quiche [SCCS155]
Sa14,
Sa15,
Sa16,
Sa17,
Sa2,
Sa3,
Ae14,
Sa4,
Sa5,SCCS: Bribri [SCCS157]
Sa6,
Sa7,
Sa8,
Sa9,SCCS: Miskito [SCCS156]
Sb1,SCCS: Callinago [SCCS161]
Sb2,
Sb3,
Sb4,
Ae15,
Sb5,Binford: Paraujano [B35]
Sb6,SCCS: Goajiro [SCCS159]
Sb7,
Sb8,
Sb9,SCCS: Haitians [SCCS160]
Sc1,SCCS: Warrau [SCCS162]
Sc10,
Sc11,
Sc12,
Sc13,
Ae16,
Sc14,
Sc15,
Sc16,
Sc17,
Sc18,
Sc2,Binford: Yaruro-Pume [B38]
Sc3,SCCS: Barama Carib [SCCS164]
Sc4,Binford: Guahibo [B39]
Sc5,
Sc6,SCCS: Saramacca [SCCS165]
Ae17,
Sc7,
Sc8,
Sc9,
Sd1,SCCS: Mundurucu [SCCS166]
Sd2,
Sd3,
Sd4,
Sd5,
Sd6,Binford: Shiriana [B36]
Sd7,
Ae18,
Sd8,
Sd9,SCCS: Yanomamo [SCCS163]
Se1,Binford: Siriono [B43]; SCCS: Siriono [SCCS173]
Se10,
Se11,
Se12,
Se2,
Se3,SCCS: Jivaro [SCCS169]
Se4,
Se5,SCCS: Cubeo [SCCS167]
Ae19,
Se6,
Se7,
Se8,SCCS: Amahuaca [SCCS170]
Se9,
Sf1,SCCS: Inca [SCCS171]
Sf2,SCCS: Aymara [SCCS172]
Sf3,SCCS: Cayapa [SCCS168]
Sf4,
Sf5,
Sf6,
Ae2,
Sf7,
Sf8,
Sf9,
Sg1,Binford: Yaghan [B55]; SCCS: Yahgan [SCCS186]
Sg2,SCCS: Mapuche [SCCS184]
Sg3,Binford: Ona [B54]
Sg4,Binford: Tehuelche [B51]; SCCS: Tehuelche [SCCS185]
Sg5,Binford: Alacaluf [B53]
Sh1,
Sh2,
Ae20,
