id,name,author,year,reference
atha1245.glotto.trees,Athapaskan-Eyak-Tlingit (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
maoo1243.glotto.trees,Blue Nile Mao (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
anim1240.glotto.trees,Anim (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
sout2845.glotto.trees,South Omotic (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
heib1242.glotto.trees,Heibanic (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
huit1251.glotto.trees,Huitotoan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
yawa1259.glotto.trees,Yawa-Saweru (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
quec1387.glotto.trees,Quechuan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
more1255.glotto.trees,Morehead-Wasur (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
yuka1259.glotto.trees,Yukaghir (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
iwai1246.glotto.trees,Iwaidjan Proper (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
araw1282.glotto.trees,Arawan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
sout2948.glotto.trees,South Bougainville (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
eski1264.glotto.trees,Eskimo-Aleut (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
mong1343.glotto.trees,Koam (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
xinc1237.glotto.trees,Xincan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
yuat1252.glotto.trees,Yuat (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
kres1240.glotto.trees,Kresh-Aja (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
east2503.glotto.trees,Eastern Trans-Fly (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
yare1250.glotto.trees,Yareban (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
gumu1250.glotto.trees,Gumuz (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
nort2923.glotto.trees,North Halmahera (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
boro1281.glotto.trees,Bororoan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
choc1280.glotto.trees,Chocoan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
kiwa1251.glotto.trees,Kiwaian (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
koia1260.glotto.trees,Koiarian (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
daga1274.glotto.trees,Dagan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
cahu1265.glotto.trees,Cahuapanan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
