id,xd_id,pref_name_for_society,glottocode,ORIG_name_and_ID_in_this_dataset,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_link,origLat,origLong,Lat,Long,Comment,glottocode_comment
WNAI92,xd1426,Akwa’ala,paip1241,Akwa’ala (Hokan) (J92),"Paipai, Akwa’ala (Hokan)",NA,,,31.5,115.8,31.5,-115.8,Original,
WNAI93,xd1035,Dakelh (Alkatcho Carrier),carr1249,Alkatcho Carrier (J93),"Carrier, Takulli, Alkatcho Carrier",NA,,,55,127,55,-127,Original,
WNAI94,xd1035,Dakelh (Lower Carrier),carr1249,Lower Carrier (J94),"Carrier, Takulli, Lower Carrier",NA,,,53,122.7,53,-122.7,Original,
WNAI95,xd1206,Chilcotin,chil1280,Chilcotin (J95),Tsilhqot'in,NA,,,51.7,125,51.7,-125,Original,
WNAI96,xd1143,Shuswap,shus1248,Shuswap (J96),Secwepemc,NA,,,51.3,120,51.3,-120,Original,
WNAI97,xd1207,Lillooet,lill1248,Upper Lillooet (J97),"St'at'imc, Stlatlum, Upper Lillooet",NA,,,50.3,122.5,50.3,-122.5,Original,
WNAI98,xd1142,Nlaka'pamux,thom1243,Upper Thompson (J98),"Thompson, Nitlakapamuk, Thompson River Salish, Upper Thompson",NA,,,50.3,121.5,50.3,-121.5,Original,
WNAI99,xd1001,Syilx,sout2963,Southern Okanagon (J99),"Okanagan, Southern Okanagon",NA,,,48.8,119.5,48.8,-119.5,Original,
WNAI100,xd1174,Sanpoil,sanp1257,Sanpoil (J100),,NA,Southeast (NR19),in process,48,118.7,48,-118.7,Original,
WNAI101,xd1419,Sinkiuse-Columbia,colu1250,"Columbia (Salish, Interior) (J101)","Sinkiuse, Columbia (Salish, Interior)",NA,,,47,119.5,47,-119.5,Original,
WNAI102,xd1148,Wenatchi,wena1241,Wenatchi (J102),,NA,,,47.5,120.3,47.5,-120.3,Original,
WNAI103,xd1146,Coeur d’Alene,coeu1236,Coeur d’Alene (J103),"Schitsu'umsh, Skitswish",NA,Southeast (NR19),in process,47.7,117,47.7,-117,Original,
WNAI104,xd1145,Kalispel,kali1309,Kalispel (J104),,NA,Southeast (NR19),in process,48.2,116.2,48.2,-116.2,Original,
WNAI105,xd1144,Bitterroot Salish,kali1309,Flathead (J105),"Salish, Flathead",NA,Southeast (NR19),in process,47.5,114,47.5,-114,Original,
WNAI106,xd1205,Kutenai,kute1249,Kutenai (J106),"Ktunaxa, Kootenay, Kootenai",NA,,,49,116.4,49,-116.4,Original,
WNAI107,xd1153,Nez Perce,nezp1238,Nez Perce (J107),"Nimi'ipuu, Sahaptin",NA,,,46,117,46,-117,Original,
WNAI108,xd1151,Umatilla,umat1237,Umatilla (J108),,NA,,,46,119,46,-119,Original,
WNAI109,xd1435,Klikitat,klik1240,Klikitat (J109),Klickitat,NA,,,45.8,121.5,45.8,-121.5,Original,
WNAI110,xd1150,Wishram,wasc1239,Wishram (J110),,NA,,,45.5,121.2,45.5,-121.2,Original,
WNAI111,xd1141,Tenino,teni1238,Tenino (J111),"Warmsprings Sahaptin, Yenino",NA,,,45.4,121.5,45.4,-121.5,Original,
WNAI112,xd1139,Klamath,klam1254,Klamath (J112),,NA,Klamath (NR10),http://ehrafworldcultures.yale.edu/collection?owc=NR10,42.5,122,42.5,-122,Original,
WNAI113,xd1140,Modoc,klam1254,Modoc (J113),,NA,,,42,121.7,42,-121.7,Original,
WNAI114,xd1155,Wadadokado,nort1551,Wada-Dokado Northern Paiute (J114),"Paiute, Northern Paiute, Wada-Dokado Northern Paiute",NA,Northern Paiute (NR13),http://ehrafworldcultures.yale.edu/collection?owc=NR13,43.3,119,43.3,-119,Original,
WNAI115,xd1157,Kidutokado,nort1551,Kidu-Dokado Northern Paiute (J115),"Gididika, Surprise Valley Paiute, Kidu-Dokado Northern Paiute",NA,Northern Paiute (NR13),http://ehrafworldcultures.yale.edu/collection?owc=NR13,42,120,42,-120,Original,
WNAI116,xd1160,Kuyuidokado,sout2967,Kuyui-Dokado Northern Paiute (J116),"Pyramid Lake Paiute, Kuyui-Dokado Northern Paiute",NA,Northern Paiute (NR13),http://ehrafworldcultures.yale.edu/collection?owc=NR13,40,119.5,40,-119.5,Original,
WNAI117,xd1164,Eastern Mono,mono1275,Owens Valley Northern Paiute (J117),"Owens Valley Paiute, Owens Valley Northern Paiute",NA,,,38,119,38,-119,Original,
WNAI118,xd1166,Tümpisa Shoshone (Panamint),pana1305,Panamint Shoshone (J118),"Panamint, California Shoshone",NA,Western (NT22),in process,36,117,36,-117,Original,
