id,name,family_id,family_name,iso_code,language_id,macroarea,lineage,level
afas1238,Af-Ashraaf,afro1255,Afro-Asiatic,,soma1255,Africa,afro1255/cush1243/east2699/lowl1267/sout3055/main1283/omot1245/east2653/soma1255,dialect
afen1234,Afenmai-Bendel,atla1278,Atlantic-Congo,,,,atla1278/volt1241/benu1247/akpe1249/edoi1239/nort3182,family
affa1240,Affade,afro1255,Afro-Asiatic,,lagw1237,Africa,afro1255/chad1250/bium1280/nort3156/koto1267/koto1263/lagw1237,dialect
affi1239,Affiniam,atla1278,Atlantic-Congo,,band1340,Africa,atla1278/nort3146/cent2230/bakk1238/jool1234/jola1264/gusi1245/band1340,dialect
afgh1238,Afghanistan-Uzbekistan Arabic,afro1255,Afro-Asiatic,,,,afro1255/semi1276/west2786/cent2236/arab1394/arab1395/east2729,family
afgh1239,Afghan Sign Language,sign1238,Sign Language,afg,afgh1239,Eurasia,sign1238/deaf1237,language
afgh1240,Afghanistan Gorbat,mixe1287,Mixed Language,,afgh1240,Eurasia,mixe1287/pers1247,language
afhe1238,Af-Helledi,afro1255,Afro-Asiatic,,maay1238,Africa,afro1255/cush1243/east2699/lowl1267/sout3055/main1283/omot1245/east2653/maay1238,dialect
afik1238,Afikpo,atla1278,Atlantic-Congo,,nucl1417,Africa,atla1278/volt1241/benu1247/igbo1258/igbo1259/nucl1417,dialect
afit1238,Afitti,nyim1244,Nyimang,aft,afit1238,Africa,nyim1244,language
afor1239,Afore,koia1260,Koiarian,,esee1247,Papunesia,koia1260/bara1376/esee1247,dialect
afri1271,Afridi,indo1319,Indo-European,,nort2646,Eurasia,indo1319/indo1320/iran1269/pash1269/nucl1276/nort2646/nort2648,dialect
afri1272,Afrike,atla1278,Atlantic-Congo,,putu1241,Africa,atla1278/volt1241/benu1247/bant1294/sout3152/bend1256/putu1241,dialect
afri1273,Afrikaansic,indo1319,Indo-European,,,,indo1319/germ1287/nort3152/west2793/macr1270/midd1347/mode1257/glob1241,family
afri1274,Afrikaans,indo1319,Indo-European,afr,afri1274,Africa,indo1319/germ1287/nort3152/west2793/macr1270/midd1347/mode1257/glob1241/afri1273,language
afro1254,Afro-Seminole Creole,indo1319,Indo-European,afs,afro1254,North America,indo1319/germ1287/nort3152/west2793/nort3175/angl1264/angl1265/late1254/merc1242/macr1271/guin1259/cari1284/east2759/gull1242/gull1243,language
afro1255,Afro-Asiatic,,,,,,,family
afro1259,Afro-Asiatic (Unattested),unat1236,Unattested,,,,unat1236,family
afsh1238,Afshari,turk1311,Turkic,,sout2697,Eurasia,turk1311/comm1245/oghu1243/nucl1769/west2406/azer1255/mode1262/sout2697,dialect
afud1235,Afudu,atla1278,Atlantic-Congo,,afud1235,Africa,atla1278/volt1241/benu1247/benu1248/yuku1244/unun9911,language
agaa1241,Aga,mong1329,Mongolic,,mong1330,Eurasia,mong1329/oira1260/oira1264/khal1273/buri1258/mong1330,dialect
agal1241,Agalo,gumu1250,Gumuz,,gumu1244,Africa,gumu1250/gumu1244,dialect
agam1238,Agam,aust1307,Austronesian,,mina1268,Papunesia,aust1307/mala1545/mala1536/nort3170/mala1538/nucl1733/mina1280/mina1268,dialect
agan1234,Agan,ural1272,Uralic,,surg1248,,ural1272/khan1279/east2774/surg1248,dialect
agan1235,Agan Nenets,ural1272,Uralic,,fore1274,,ural1272/samo1298/enet1251/nene1251/fore1274,dialect
agar1249,Agar,nilo1247,Nilotic,,sout2833,Africa,nilo1247/west2493/dink1261/dink1262/sout2833,dialect
agar1250,Agari of Kolaba,indo1319,Indo-European,,konk1267,Eurasia,indo1319/indo1320/indo1321/indo1325/maha1307/konk1270/konk1267,dialect
agar1251,Agariya,unat1236,Unattested,agi,agar1251,Eurasia,unat1236/drav1252,language
agar1252,Agarabi,nucl1709,Nuclear Trans New Guinea,agd,agar1252,Papunesia,nucl1709/kain1273/kain1274/gauw1235/gads1260,language
agat1236,Agatu,atla1278,Atlantic-Congo,agc,agat1236,Africa,atla1278/volt1241/benu1247/idom1262/etul1244/etul1246/nucl1732,language
agau1239,Agaunshe,atla1278,Atlantic-Congo,,tsik1238,Africa,atla1278/volt1241/benu1247/kain1275/cent2242/kamb1317/kamb1319/west2828/tsik1238,dialect
agav1236,Agavotaguerra,unat1236,Unattested,avo,agav1236,South America,unat1236/araw1288,language
agba1238,Agbarho,atla1278,Atlantic-Congo,,urho1239,Africa,atla1278/volt1241/benu1247/akpe1249/edoi1239/sout2805/urho1239,dialect
agbi1234,Agbirigba,spee1234,Speech Register,,agbi1234,Africa,spee1234/atla1282,language
agbo1241,Agbome,atla1278,Atlantic-Congo,,fonn1241,Africa,atla1278/volt1241/kwav1236/gbee1241/east2711/fonn1241,dialect
agbo1242,Agbon,atla1278,Atlantic-Congo,,urho1239,Africa,atla1278/volt1241/benu1247/akpe1249/edoi1239/sout2805/urho1239,dialect
agee1238,Ageer,nilo1247,Nilotic,,nort2815,Africa,nilo1247/west2493/dink1261/dink1262/nort2815,dialect
aghe1239,Aghem,atla1278,Atlantic-Congo,agq,aghe1239,Africa,atla1278/volt1241/benu1247/bant1294/sout3152/wide1239/narr1282/ring1243/west2835,language
