id,society_name,lat,long,source,iso
Af47,Kran,6,-8,EA,krw
Af48,Kru,5,-9,EA,NA
Af26,Kukuruku,7,6,EA,ets
Af8,Nupe,9,6,EA,nup
Af6,Oyo Yoruba,8,4,EA,yor
Af49,Sapo,6,-9,EA,krn
Ag1,Bambara,13,-7,EA,NA
Ag53,Bisa,12,0,EA,bib
Ag7,Bozo,14,-5,EA,boz
Ah29,Daka,8,11,EA,ccg
Ag27,Diula,9,-4,EA,dyu
Af51,Gagu,7,-6,EA,ggu
Af54,Gbande,8,-10,EA,bza
Af52,Guro,7,-6,EA,goa
Ag23,Kasonke,13,-11,EA,kao
Ag24,Koranko,9,-11,EA,knk
Af15,Kpelle,7,-9,EA,NA
Ag9,Malinke,11,-9,EA,mlq
Af5,Mende,8,-11,EA,men
Ai45,Meban,10,34,EA,mfz
Ai9,Masa,10,16,EA,mcn
Ag29,Samo,13,-3,EA,sbd
Aj23,Plains Suk,1,36,EA,pko
Ag26,Susu,15,-13,EA,sus
Af11,Toma,11,-9,EA,tod
Af53,Tura,8,-7,EA,neb
Af58,Vai,7,-12,EA,vai
Ag54,Yalunka,10,-12,EA,yal
Ai21,Bagirmi,11,17,EA,bmi
Ai35,Bongo,7,29,EA,bot
Ai29,Lendu,2,30,EA,led
Ai30,Lese,2,29,EA,les
Ai31,Logo,3,30,EA,log
Ai32,Lugbara,3,32,EA,lgg
Ai33,Madi,4,32,EA,mhi
Ai5,Mamvu,3,29,EA,mdi
Ai11,Mangbetu,3,28,EA,mdj
Ai34,Moru,5,30,EA,mgd
Ai28,Popoi,2,26,EA,mdj
Aj25,Keyu,0,36,EA,eyo
Ai22,Sara,9,18,EA,NA
Aj10,Acholi,3,32,EA,ach
Aj17,Alur,2,31,EA,alz
Ai44,Anuak,8,34,EA,anu
Ca32,Barea,16,38,EA,nrb
Aj8,Bari,5,32,EA,bfa
Aj18,Bodi,5,35,EA,mym
Aj19,Didinga,4,34,EA,did
Aj11,Dinka,9,29,EA,NA
Aa2,Dorobo,0,36,EA,NA
Aj13,Fajulu,4,31,EA,bfa
Aj26,Hill Suk,1,36,EA,pko
Aj21,Jie,3,34,EA,kdj
Ai36,Jur,8,28,EA,NA
Aj14,Kakwa,4,31,EA,keo
Cb21,Djafun,8,13,EA,NA
Aj9,Kipsigis,-1,36,EA,sgc
Aj15,Kuku,4,32,EA,bfa
Aj22,Labwor,3,34,EA,ach
Aj4,Lango,2,33,EA,laj
Aj12,Lotuko,4,33,EA,lot
Aj6,Luo,-1,34,EA,NA
Aj2,Masai,-2,36,EA,mas
Cb22,Liptako,14,0,EA,fuh
Aj16,Mondari,6,31,EA,mqu
Aj7,Nandi,0,35,EA,niq
Aj3,Nuer,8,32,EA,nus
Cb8,Bororo Fulani,13,5,EA,fuv
Aj29,Samburu,1,37,EA,saq
Aj27,Sapei,1,35,EA,kpz
Ai6,Shilluk,10,32,EA,shk
Aj20,Suri,6,35,EA,suq
Aj28,Tatoga,-5,35,EA,tcc
Aj1,Teso,2,34,EA,teo
Aj24,Topotha,5,34,EA,toq
Aj5,Turkana,4,35,EA,tuv
Ca33,Kunama,15,37,EA,kun
Cd1,Barabra,23,33,EA,kzh
Ai8,Dilling,12,30,EA,NA
Cb11,Midobi,16,27,EA,mei
Ai43,Nyima,12,29,EA,nyi
Cc14,Daza,17,18,EA,NA
Cb18,Kanembu,14,14,EA,kbl
Cb19,Kanuri,12,13,EA,kby
Cc2,Teda,21,17,EA,tuq
Ai46,Koma,9,35,EA,xom
Ai47,Mao,9,35,EA,kmq
Cc5,Antessar,18,-3,EA,NA
Cc10,Asben,18,8,EA,NA
Cc8,Aulliminden,8,2,EA,ttq
Cc11,Azjer,25,10,EA,thv
Cd7,Beraber,33,-7,EA,NA
Cc15,Drawa,31,-7,EA,shi
Cd11,Guanche,28,-16,EA,gnc
Cc12,Ifora,20,2,EA,taq
Cd4,Kabyle,36,4,EA,kab
Cc4,Mzab,33,4,EA,mzb
Cd3,Riffians,35,-4,EA,rif
Cd8,Shawiya,36,7,EA,NA
Cd5,Shluh,30,-9,EA,shi
Cc3,Siwans,29,26,EA,siz
Cd9,Tekna,28,-11,EA,NA
Cc9,Tuareg Ahaggar,23,6,EA,NA
Cc13,Udalan,16,0,EA,taq
Cd10,Zekara,34,-2,EA,tia
Ca34,Ababda,24,34,EA,NA
Ca6,Afar,12,42,EA,aar
Ca35,Amarar,20,36,EA,NA
Ca27,Anfillo,9,35,EA,myo
Ca18,Arbore,5,37,EA,arv
Ca11,Arusi,8,40,EA,gax
Ca40,Baditu,6,38,EA,kqy
Ca23,Bako,6,37,EA,aiw
Ca19,Banna,6,36,EA,amf
Ca28,Basketo,6,37,EA,bst
Ca36,Beni Amer,18,38,EA,NA
Ca5,Bisharin,20,35,EA,NA
Ca37,Bogo,16,36,EA,byn
Ca14,Burji,5,38,EA,bji
Ca15,Darasa,6,38,EA,drs
Ca24,Dime,6,36,EA,dim
Ca41,Dorse,6,38,EA,doz
Ca10,Esa,10,43,EA,som
Ca20,Galab,5,36,EA,dsh
Ca12,Gibe,8,37,EA,kqy
Ca9,Goroa,-4,36,EA,gow
Ca21,Hammar,5,36,EA,amf
Ca4,Iraqw,-4,35,EA,irk
Ca29,Janjero,8,38,EA,jnj
Ca39,Jimma,8,37,EA,jnj
Ca30,Kafa,7,36,EA,kbr
Ca1,Konso,6,37,EA,kso
Ca13,Macha,9,37,EA,NA
Ca22,Male,6,37,EA,mdy
Ca42,Shako,7,36,EA,she
Ca25,Shangama,6,37,EA,aiw
Ca16,Sidamo,7,38,EA,sid
Ca2,Somali,8,48,EA,som
Ca17,Tsamai,5,37,EA,tsb
Ca26,Ubamer,6,37,EA,aiw
Ah16,Angas,9,9,EA,NA
Cb27,Bachama,10,12,EA,bcy
Ah34,Bata,10,13,EA,bta
Cb7,Bolewa,11,11,EA,bol
Cb5,Buduma,13,15,EA,bdm
Ah35,Bura,10,12,EA,bwr
Cb28,Dera,10,12,EA,kna
Ai17,Gisiga,10,14,EA,NA
Ah36,Gude,10,13,EA,gde
Cb9,Hausa Kanawa,12,9,EA,hau
Ah37,Hona,10,13,EA,hwo
Ah38,Kapsiki,11,14,EA,kvj
Cb10,Karekare,12,11,EA,kai
Ai18,Kotoko,12,15,EA,kot
Cb1,Maguzawa,12,10,EA,hau
Ah5,Margi,11,13,EA,mrt
Ah7,Matakam,11,14,EA,maf
Ai19,Musgu,11,15,EA,mug
Cb29,Ngizim,12,10,EA,ngi
Ah39,Podokwo,11,14,EA,pbi
Cb25,Tazarawa,14,8,EA,hau
Cb6,Tera,11,12,EA,ttr
Ai20,Tuburi,10,15,EA,tui
Cb26,Zazzagawa Hausa,11,8,EA,hau
Cd6,Ancient Egypt,30,31,EA,NA
Cd12,Algerians,31,2,EA,arq
Ca7,Amhara,13,38,EA,amh
Cj4,Babylonians,32,45,EA,NA
Cc7,Barabish,20,-5,EA,NA
Cc16,Chaambra,32,3,EA,arq
Cc17,Delim,22,-15,EA,mey
Cj8,Druze,33,35,EA,apc
Cd2,Egyptians,25,33,EA,arz
Ca31,Falasha,12,37,EA,NA
Cb12,Gimma,13,32,EA,apd
Ca8,Gurage,8,38,EA,NA
Cb13,Habbania,11,25,EA,apd
Cd13,Hamama,30,9,EA,aeb
Cd14,Hamyan,35,2,EA,arq
Cb4,Hasania,14,32,EA,apd
Cj3,Hebrews,32,35,EA,heb
Cb14,Hemat,11,20,EA,shu
Cd15,Jebala,35,-5,EA,ary
Cj6,Jordanians,32,36,EA,NA
Cc6,Kababish,17,31,EA,apd
Cc18,Kunta,19,-1,EA,NA
Cj7,Lebanese,34,36,EA,apc
Cj10,Madan,31,47,EA,NA
Cb15,Messiria Humr,11,28,EA,apd
Cd16,Moroccans,33,-8,EA,ary
Cj5,Mutair,28,47,EA,ars
Cd17,Nail,35,5,EA,arq
Cc1,Regeibat,22,-13,EA,mey
Cj2,Rwala,33,37,EA,NA
Cd18,Saadi,30,28,EA,NA
Cd19,Sahel,35,11,EA,NA
Cd20,Sanusi,31,22,EA,NA
Cb16,Shuwa,13,15,EA,NA
Cj1,Syrians,36,36,EA,apc
Ca38,Tigre,17,39,EA,tig
Ca3,Tigrinya,14,39,EA,tir
Cc19,Trarza,18,-15,EA,NA
Cd21,Tunisians,37,10,EA,NA
Cj9,Yemeni,15,45,EA,NA
Cc20,Zenaga,18,-8,EA,zen
Ee1,Abor,28,95,EA,adi
