ISO,LMP_LAT,LMP_LON
skf,-13.05501,-62.09887
slj,1.75185,-56.50525
mav,-3.62912,-56.80378
swo,-7.74401,-72.36728
sik,2.05980,-55.92531
swx,-6.83360,-66.32307
mdz,-5.93190,-48.58333
sru,-11.09663,-61.28748
suy,-11.51425,-53.09365
tbb,-4.99999,-40.33333
taf,-10.53555,-50.52731
tae,0.31273,-68.60846
xtw,-13.34559,-60.51313
tqb,-2.61120,-48.22114
pah,-7.83702,-62.04229
ter,-20.70013,-55.87379
tca,-3.35754,-68.59068
tgv,-11.58159,-37.53797
trz,-6.19532,-61.74165
tme,-3.09034,-40.22030
tka,-8.49999,-38.99999
tpy,-11.79139,-53.61699
tuo,0.52655,-69.16109
tkf,-11.51800,-61.42000
tpr,-11.66855,-64.91853
tpn,-8.16666,-63.24999
tpk,-18.99999,-40.41666
tpw,-23.53400,-46.63600
twt,-2.99999,-41.99999
tud,-12.04999,-41.16665
tux,-9.74999,-69.01666
uam,-8.49999,-38.74999
umo,-15.59288,-57.41916
urz,-10.89550,-63.80681
uru,-9.08000,-63.84800
urp,-11.29356,-62.73054
atr,-0.64687,-60.45944
waw,1.16782,-59.65609
waf,-9.91666,-36.49999
wsu,-9.74999,-36.83332
wau,-13.30060,-53.70301
oym,1.36161,-52.49479
wyr,-12.58836,-61.26331
wir,-9.30537,-59.47688
xkr,-18.99999,-46.99999
xav,-14.01941,-52.45849
xer,-9.57749,-48.26959
xet,-24.93552,-52.23019
xiy,-3.02024,-51.82542
xip,-8.74999,-68.83333
xir,2.69932,-62.54131
xok,-26.92701,-49.59335
xoo,-8.06666,-36.58332
ybn,0.58332,-65.49999
xyl,-9.11505,-60.82581
wca,2.59782,-62.86314
yaw,-12.01667,-53.58339
ywn,-8.87952,-71.82386
yab,0.24926,-69.80838
pto,-1.76057,-55.50647
beg,4.40124,114.46383
bsb,4.59437,114.63239
kxd,4.78267,114.77958
ttg,4.73043,114.65553
bqn,42.79184,25.00265
bul,42.83263,25.13122
bfo,10.17506,-2.98420
bib,11.54590,-0.50983
bwq,11.51170,-4.29218
bof,11.72913,-4.82860
box,12.05962,-3.71029
bwy,11.41982,-2.93172
bwj,11.65939,-3.18915
cme,10.23632,-4.84298
dgd,11.52737,-2.34240
dgi,10.91868,-3.02541
dos,10.24753,-4.11507
dgs,10.04690,-4.34965
dya,10.88915,-3.54105
dnn,11.36610,-4.92399
gux,12.28977,0.92545
bxl,10.54257,-5.21872
dyu,10.42440,-5.05719
gna,10.28858,-3.58197
knz,13.59991,-3.12065
xrb,10.51960,-4.52868
kza,10.64625,-4.77206
xsm,11.30156,-1.23393
kqg,9.79461,-4.24561
bbo,12.39755,-4.32547
kfz,14.16811,-0.91043
lob,10.29093,-3.37522
lee,12.41237,-2.60690
rkm,12.00253,-3.25244
mos,12.73391,-1.28746
nti,10.72235,-5.19733
nuv,12.17057,-2.98703
nnw,11.50846,-2.10834
pnq,13.21978,-3.33124
pug,11.21382,-3.33856
stj,13.22781,-3.20720
sym,13.29534,-2.78785
sbd,12.73833,-2.93045
sos,11.12738,-4.60424
sen,11.65329,-4.98349
seq,10.50901,-5.27539
sep,11.02461,-5.25376
sif,10.99713,-4.93928
