dataset,soc_id,origLat,origLong,Lat,Long,Comment
EA,Ac31,-7,28,-7,28,Original
EA,Ac32,-13,26,-13,26,Original
EA,Ac33,-15,31,-15,31,Original
EA,Ac34,-10,29,-10,29,Original
EA,Ac35,-10,28,-10,28,Original
EA,Ac36,-12,34,-12,34,Original
EA,Ac37,-15,32,-15,32,Original
EA,Ac38,-16,36,-16,36,Original
EA,Ac39,-13,35,-13,35,Original
EA,Ac4,-5,22,-5,22,Original
EA,Ac40,-18,35,-18,35,Original
EA,Ac41,-11,40,-11,40,Original
EA,Ac42,-15,39,-15,39,Original
EA,Ac43,9,32,9,32,Original
EA,Ac5,-13,28,-13,28,Original
EA,Ac6,-11,26,-11,26,Original
EA,Ac7,-13,36,-13,36,Original
EA,Ac8,-5,13,-5,13,Original
EA,Ac9,-12,33,-12,33,Original
EA,Ad1,-2,41,-2,41,Original
EA,Ad10,-5,38,-5,38,Original
EA,Ad11,-9,36,-9,36,Original
EA,Ad12,-1,35,-1,35,Original
EA,Ad13,-3,30,-3,30,Original
EA,Ad14,-8,38,-8,38,Original
EA,Ad15,-10,32,-10,32,Original
EA,Ad16,-10,34,-10,34,Original
EA,Ad17,-8,33,-8,33,Original
EA,Ad18,-7,31,-7,31,Original
EA,Ad19,-8,31,-8,31,Original
EA,Ad2,2,32,2,32,Original
EA,Ad20,-5,33,-5,33,Original
EA,Ad21,-7,31,-7,31,Original
EA,Ad22,-3,34,-3,34,Original
EA,Ad23,-8,34,-8,34,Original
EA,Ad24,-7,36,-7,36,Original
EA,Ad25,-5,36,-5,36,Original
EA,Ad26,-5,34,-5,34,Original
EA,Ad27,-7,39,-7,39,Original
EA,Ad28,-6,39,-5.84,38.79,Revised
EA,Ad29,-6,40,-6.07,39.43,Revised
EA,Ad3,-3,37,-3,37,Original
EA,Ad30,-4,39,-4,39,Original
EA,Ad31,-4,39,-4,39,Original
EA,Ad32,-3,40,-3,40,Original
EA,Ad33,-1,40,-1,40,Original
EA,Ad34,-2,38,-2,38,Original
EA,Ad35,0,35,0,35,Original
EA,Ad36,-4,38,-4,38,Original
EA,Ad37,-4,39,-4,39,Original
EA,Ad38,-2,33,-2,33,Original
EA,Ad39,-3,36,-3,36,Original
EA,Ad4,-1,37,-1,37,Original
EA,Ad40,0,35,0,35,Original
EA,Ad41,1,35,1,35,Original
EA,Ad42,-1,32,-1,32,Original
EA,Ad43,-3,33,-3,33,Original
EA,Ad44,-1,30,-1,30,Original
EA,Ad45,0,31,0,31,Original
EA,Ad46,1,33,1,33,Original
EA,Ad47,-4,32,-4,32,Original
EA,Ad48,1,31,1,31,Original
EA,Ad49,-3,31,-3,31,Original
EA,Ad5,-4,36,-4,36,Original
EA,Ad50,-6,37,-6,37,Original
EA,Ad51,-6,38,-6,38,Original
EA,Ad6,-9,34,-9,34,Original
EA,Ad7,1,32,1,32,Original
EA,Ad8,-8,35,-8,35,Original
EA,Ad9,1,34,1,34,Original
EA,Ae1,1,30,1,30,Original
EA,Ae10,-2,30,-2,30,Original
EA,Ae11,-4,26,-4,26,Original
EA,Ae12,4,10,4,10,Original
EA,Ae13,-2,29,-2,29,Original
EA,Ae14,-5,30,-5,30,Original
EA,Ae15,-2,28,-2,28,Original
EA,Ae16,-6,23,-6,23,Original
EA,Ae17,-3,28,-3,28,Original
EA,Ae18,-6,25,-6,25,Original
EA,Ae19,-11,28,-11,28,Original
EA,Ae2,4,9,4.22,9.27,Revised
EA,Ae20,-2,18,-2,18,Original
EA,Ae21,-3,23,-3,23,Original
EA,Ae22,-4,22,-4,22,Original
EA,Ae23,-1,23,-1,23,Original
EA,Ae24,1,22,1,22,Original
EA,Ae25,-4,25,-4,25,Original
EA,Ae26,0,24,0,24,Original
EA,Ae27,1,25,1,25,Original
EA,Ae28,1,18,1,18,Original
EA,Ae29,2,22,2,22,Original
EA,Ae3,1,11,1,11,Original
EA,Ae30,1,29,1,29,Original
EA,Ae31,2,28,2,28,Original
EA,Ae32,-1,27,-1,27,Original
EA,Ae33,1,27,1,27,Original
EA,Ae34,1,30,1,30,Original
EA,Ae35,0,28,0,28,Original
EA,Ae36,1,23,1,23,Original
EA,Ae37,3,23,3,23,Original
EA,Ae38,2,21,2,21,Original
EA,Ae39,2,20,2,20,Original
EA,Ae4,0,20,0,20,Original
EA,Ae40,3,14,3,14,Original
EA,Ae41,1,14,1,14,Original
EA,Ae42,3,11,3,11,Original
EA,Ae43,2,16,2,16,Original
EA,Ae44,4,9,3.54,8.72,Revised
EA,Ae45,10,9,10,9,Original
EA,Ae46,-2,10,-2,10,Original
EA,Ae47,2,10,2,10,Original
EA,Ae48,5,11,5,11,Original
EA,Ae49,6,10,6,10,Original
EA,Ae5,5,10,5,10,Original
EA,Ae50,6,11,6,11,Original
EA,Ae51,5,11,5,11,Original
EA,Ae52,7,10,7,10,Original
EA,Ae53,4,11,4,11,Original
EA,Ae54,6,10,6,10,Original
EA,Ae55,6,10,6,10,Original
EA,Ae56,6,11,6,11,Original
EA,Ae57,6,11,6,11,Original
EA,Ae58,6,12,6,12,Original
EA,Ae59,6,10,6,10,Original
EA,Ae6,-8,26,-8,26,Original
EA,Ae7,3,25,3,25,Original
EA,Ae8,-3,30,-3,30,Original
EA,Ae9,6,10,6,10,Original
EA,Af1,7,2,7,2,Original
EA,Af10,6,7,6,7,Original
EA,Af11,11,-9,11,-9,Original
EA,Af12,7,-1,7,-1,Original
EA,Af13,8,7,8,7,Original
EA,Af14,7,-13,7.52,-12.69,Revised
EA,Af15,7,-9,7,-9,Original
EA,Af16,6,9,6,9,Original
EA,Af17,6,9,6,9,Original
EA,Af18,6,8,6,8,Original
EA,Af19,5,8,5,8,Original
EA,Af2,9,-10,9,-10,Original
EA,Af20,5,8,5,8,Original
EA,Af21,2,6,4.37,6.58,Revised
EA,Af22,6,5,6,5,Original
EA,Af23,6,8,6,8,Original
EA,Af24,6,6,6,6,Original
EA,Af25,5,6,5,6,Original
EA,Af26,7,6,7,6,Original
EA,Af27,8,8,8,8,Original
EA,Af28,10,10,10,10,Original
EA,Af29,7,8,7,8,Original
EA,Af3,7,-2,7,-2,Original
EA,Af30,7,7,7,7,Original
