xd_id,iso_6933,N_iso_shared,DialectLanguageGlottocode,DialectLanguageLevel,FamilyGlottocode,FamilyLevel
xd917,mbr,1,nuka1242,language,kaku1242,family
xd1342,mch,1,maqu1238,language,cari1283,family
xd383,mcn,1,masa1322,language,afro1255,family
xd331,mcu,1,came1252,language,atla1278,family
xd342,mdd,1,mbum1254,language,atla1278,family
xd379,mdi,1,mamv1243,language,cent2225,family
xd339,mdj,2,nucl1420,dialect,cent2225,family
xd357,mdj,2,popo1291,dialect,cent2225,family
xd39,mdp,1,mbal1257,language,atla1278,family
xd429,mdy,1,male1284,language,gong1255,family
xd460,mei,1,mido1240,language,nubi1251,family
xd799,mek,1,meke1243,language,aust1307,family
xd230,men,1,mend1266,language,mand1469,family
xd104,mer,1,meru1245,language,atla1278,family
xd786,meu,1,motu1246,language,aust1307,family
xd504,mey,6,hass1238,language,afro1255,family
xd495,mey,6,hass1238,language,afro1255,family
xd496,mey,6,hass1238,language,afro1255,family
xd487,mey,6,hass1238,language,afro1255,family
xd527,mey,6,hass1238,language,afro1255,family
xd497,mey,6,hass1238,language,afro1255,family
xd1243,mez,1,meno1252,language,algi1248,family
xd289,mfq,1,moba1244,language,atla1278,family
xd376,mfz,1,maba1273,language,nilo1247,family
xd364,mgd,1,moru1253,language,cent2225,family
xd181,mgo,1,meta1238,language,atla1278,family
xd70,mgr,1,mamb1296,language,atla1278,family
xd65,mgs,1,mand1423,language,atla1278,family
xd798,mgu,1,mail1248,language,mail1249,family
xd120,mgz,1,mbug1242,language,atla1278,family
xd363,mhi,1,madi1260,language,cent2225,family
xd606,mhj,1,mogh1245,language,mong1329,family
xd170,mhk,1,mung1266,language,atla1278,family
xd752,mhp,1,bali1279,language,aust1307,family
xd1225,mhq,1,mand1446,language,siou1252,family
xd568,mhr,1,east2328,language,ural1272,family
xd1238,mia,1,miam1252,language,algi1248,family
xd1058,mic,1,mikm1235,language,algi1248,family
xd1251,mik,1,mika1239,language,musk1252,family
xd755,min,1,mina1268,language,aust1307,family
xd1325,miq,1,misk1235,language,misu1242,family
xd610,mjg,1,tuuu1240,language,mong1329,family
xd641,mji,1,kimm1245,language,hmon1336,family
xd905,mjp,1,mala1468,language,drav1251,family
xd704,mjw,1,karb1241,language,sino1245,family
xd297,mlq,1,west2500,language,mand1469,family
xd866,mmg,1,nort2839,language,aust1307,family
xd677,mmk,1,mukh1238,language,drav1251,family
xd646,mnc,1,manc1252,language,tung1282,family
xd724,mng,1,east2333,language,aust1305,family
xd1164,mnr,4,mono1275,language,utoa1244,family
xd1122,mnr,4,mono1275,language,utoa1244,family
xd993,mnr,4,mono1275,language,utoa1244,family
xd1162,mnr,4,mono1275,language,utoa1244,family
xd623,mns,1,mans1258,language,ural1272,family
xd877,mnv,1,renn1242,language,aust1307,family
xd1048,moe,1,mont1268,language,algi1248,family
xd371,mor,1,moro1285,language,heib1242,family
xd285,mos,1,moss1236,language,atla1278,family
xd1272,mov,1,moha1256,language,coch1271,family
xd851,mox,1,moli1248,language,aust1307,family
xd948,mpb,1,mull1237,language,nort1547,family
xd958,mpj,1,mart1256,language,pama1250,family
xd391,mqu,1,mand1425,language,nilo1247,family
xd909,mra,1,mlab1235,language,aust1305,family
xd1281,mrc,1,mari1440,language,coch1271,family
xd710,mrh,1,mara1382,language,sino1245,family
xd891,mri,1,maor1246,language,aust1307,family
xd825,mrl,1,mort1237,language,aust1307,family
xd892,mrq,1,nort2845,language,aust1307,family
xd332,mrt,1,marg1265,language,afro1255,family
xd896,mrv,1,mang1401,language,aust1307,family
xd720,mtq,1,muon1246,language,aust1305,family
xd862,mtt,1,mota1237,language,aust1307,family
xd343,mua,1,mund1325,language,atla1278,family
xd347,mug,1,musg1254,language,afro1255,family
xd1252,mus,1,cree1270,language,musk1252,family
xd806,mva,1,mana1295,language,aust1307,family
xd1099,mvb,1,matt1238,language,atha1245,family
xd642,mvi,1,miya1259,language,japo1237,family
xd603,mvy,1,indu1241,language,indo1319,family
xd782,mwf,1,murr1258,language,sout2772,family
xd82,mwn,1,nyam1275,language,atla1278,family
xd937,mwp,1,kala1377,language,pama1250,family
xd728,mwt,1,moke1242,language,aust1307,family
xd756,mwv,1,ment1249,language,aust1307,family
xd709,mya,1,nucl1310,language,sino1245,family
xd167,mye,1,myen1241,language,atla1278,family
xd1084,myh,1,maka1318,language,waka1280,family
xd268,myk,1,mama1271,language,atla1278,family
xd393,mym,1,meen1242,language,surm1244,family
xd434,myo,1,anfi1235,language,gong1255,family
xd1353,myu,1,mund1330,language,tupi1275,family
xd552,myv,1,erzy1239,language,ural1272,family
xd126,myx,1,masa1299,language,atla1278,family
xd501,mzb,1,tumz1238,language,afro1255,family
xd322,mzm,1,nucl1240,language,atla1278,family
xd353,mzv,1,manz1243,language,atla1278,family
xd1401,nab,1,sout2994,language,namb1299,family
xd859,nak,1,naka1262,language,aust1307,family
xd649,nan,1,minn1241,language,sino1245,family
xd532,nap,1,neap1235,language,indo1319,family
xd4,naq,2,dama1270,dialect,khoe1240,family
xd3,naq,2,nama1265,dialect,khoe1240,family
xd336,nar,1,igut1238,language,atla1278,family
xd828,nau,1,naur1243,language,aust1307,family
xd1279,nav,1,nava1243,language,atha1245,family
xd975,nay,1,narr1259,language,pama1250,family
xd352,nbm,1,ngba1284,language,atla1278,family
xd856,ncf,1,nots1237,language,aust1307,family
xd1301,nci,1,clas1250,language,utoa1244,family
xd18,ndc,1,ndau1241,language,atla1278,family
xd318,ndi,1,samb1305,language,atla1278,family
xd316,ndr,1,ndoo1241,language,atla1278,family
xd234,neb,1,tour1242,language,mand1469,family
xd625,neg,1,negi1245,language,tung1282,family
xd1153,nez,1,nezp1238,language,saha1239,family
xd355,ngb,1,nort2774,language,atla1278,family
xd159,ngc,2,binj1250,dialect,atla1278,family
xd935,ngh,1,nuuu1241,language,tuuu1241,family
xd479,ngi,1,ngiz1242,language,afro1255,family
xd75,ngo,1,ngon1269,language,atla1278,family
