xd_id,iso_6933,N_iso_shared,DialectLanguageGlottocode,DialectLanguageLevel,FamilyGlottocode,FamilyLevel,xd_id
xd916,ako,1,akur1238,language,cari1283,family,xd916
xd216,akp,1,siwu1238,language,atla1278,family,xd216
xd1387,alc,1,qawa1238,language,kawe1237,family,xd1387
xd224,ald,1,alla1248,language,atla1278,family,xd224
xd999,ale,2,beri1255,dialect,eski1264,family,xd999
xd1067,ale,2,east2533,dialect,eski1264,family,xd1067
xd528,aln,1,gheg1238,language,indo1319,family,xd528
xd964,aly,1,alya1239,language,pama1250,family,xd964
xd392,alz,1,alur1250,language,nilo1247,family,xd392
xd1372,amc,1,amah1246,language,pano1256,family,xd1372
xd425,amf,2,hame1242,language,sout2845,family,xd425
xd428,amf,2,hame1242,language,sout2845,family,xd428
xd455,amh,1,amha1245,language,afro1255,family,xd455
xd749,ami,1,amis1246,language,aust1307,family,xd749
xd305,anc,1,ngas1240,language,afro1255,family,xd305
xd903,anq,1,jara1245,language,jara1244,family,xd903
xd375,anu,1,anua1242,language,nilo1247,family,xd375
xd218,any,1,anyi1245,language,atla1278,family,xd218
xd1337,aoc,2,cama1252,dialect,cari1283,family,xd1337
xd1341,aoc,2,taul1252,dialect,cari1283,family,xd1341
xd776,aoi,1,anin1240,language,gunw1250,family,xd776
xd764,aol,1,alor1247,language,aust1307,family,xd764
xd858,apb,1,saaa1240,language,aust1307,family,xd858
xd586,apc,3,nort3140,dialect,afro1255,family,xd586
xd593,apc,3,nort3141,dialect,afro1255,family,xd593
xd594,apc,3,sunn1238,dialect,afro1255,family,xd594
xd481,apd,5,khar1296,dialect,afro1255,family,xd481
xd461,apd,5,nort3133,dialect,afro1255,family,xd461
xd462,apd,5,nort3133,dialect,afro1255,family,xd462
xd503,apd,5,nort3133,dialect,afro1255,family,xd503
xd464,apd,5,west2773,dialect,afro1255,family,xd464
xd1266,apj,1,jica1244,language,atha1245,family,xd1266
xd1219,apk,1,kiow1264,language,atha1245,family,xd1219
xd1275,apl,1,lipa1241,language,atha1245,family,xd1275
xd1259,apm,2,mesc1238,language,atha1245,family,xd1259
xd1265,apm,2,mesc1238,language,atha1245,family,xd1265
xd1415,apn,1,apin1244,language,nucl1710,family,xd1415
xd1267,apw,1,west2615,language,atha1245,family,xd1267
xd524,egy,1,egyp1246,language,afro1255,family,xd524
xd1209,ari,1,arik1262,language,cadd1255,family,xd1209
xd1384,arn,1,mapu1245,language,arau1255,family,xd1384
xd1228,arp,1,arap1274,language,algi1248,family,xd1228
xd510,arq,4,algi1247,dialect,afro1255,family,xd510
xd494,arq,4,algi1247,dialect,afro1255,family,xd494
xd515,arq,4,cons1245,dialect,afro1255,family,xd515
xd512,arq,4,oran1236,dialect,afro1255,family,xd512
xd588,ars,2,nort3137,dialect,afro1255,family,xd588
xd591,ars,2,sout3119,dialect,afro1255,family,xd591
xd424,arv,1,arbo1245,language,afro1255,family,xd424
xd1336,arw,1,araw1276,language,araw1281,family,xd1336
xd514,ary,2,sout3117,dialect,afro1255,family,xd514
xd518,arz,1,egyp1253,language,afro1255,family,xd518
xd105,asa,1,asut1235,language,atla1278,family,xd105
xd1210,asb,1,assi1247,language,siou1252,family,xd1210
xd221,ati,1,atti1239,language,atla1278,family,xd221
xd1208,ats,1,gros1243,language,algi1248,family,xd1208
xd1135,atw,1,atsu1245,language,pala1350,family,xd1135
xd225,avi,1,avik1243,language,atla1278,family,xd225
xd1406,awe,1,awet1244,language,tupi1275,family,xd1406
xd1390,axb,1,abip1241,language,guai1249,family,xd1390
xd923,axk,2,bamb1264,dialect,atla1278,family,xd923
xd924,axk,2,beka1240,dialect,atla1278,family,xd924
xd968,axl,1,lowe1436,language,pama1250,family,xd968
xd519,ayl,1,liby1240,language,afro1255,family,xd519
xd595,ayn,1,sana1295,language,afro1255,family,xd595
xd1375,ayr,1,cent2142,language,ayma1253,family,xd1375
xd549,bak,1,bash1264,language,turk1311,family,xd549
xd244,bam,1,bamb1269,language,mand1469,family,xd244
xd172,bax,1,bamu1253,language,atla1278,family,xd172
xd753,bbc,1,bata1289,language,aust1307,family,xd753
xd651,bca,1,cent2004,language,sino1245,family,xd651
xd243,bci,1,baou1238,language,atla1278,family,xd243
xd477,bcy,1,baca1246,language,afro1255,family,xd477
xd482,bdm,1,budu1265,language,afro1255,family,xd482
xd85,bdp,1,bend1258,language,atla1278,family,xd85
xd166,bdu,1,orok1266,language,atla1278,family,xd166
xd966,bdy,1,band1339,language,pama1250,family,xd966
xd1045,bea,1,beav1236,language,atha1245,family,xd1045
xd442,bej,4,abab1239,dialect,afro1255,family,xd442
xd443,bej,4,amar1281,dialect,afro1255,family,xd443
xd453,bej,4,bish1251,dialect,afro1255,family,xd453
xd452,bej,4,hade1248,dialect,afro1255,family,xd452
xd570,bel,1,bela1254,language,indo1319,family,xd570
xd55,bem,2,town1238,dialect,atla1278,family,xd55
xd664,ben,1,beng1280,language,indo1319,family,xd664
xd366,bex,1,jurm1239,language,cent2225,family,xd366
xd78,bez,1,bena1262,language,atla1278,family,xd78
xd390,bfa,3,kuku1285,dialect,nilo1247,family,xd390
xd413,bfa,3,ligo1238,dialect,nilo1247,family,xd413
xd388,bfa,3,poju1239,dialect,nilo1247,family,xd388
xd185,bfd,1,bafu1246,language,atla1278,family,xd185
xd174,bfm,1,mmen1238,language,atla1278,family,xd174
xd273,bfo,1,malb1235,language,atla1278,family,xd273
xd669,bfz,1,maha1287,language,indo1319,family,xd669
xd597,bgp,1,east2304,language,indo1319,family,xd597
xd683,ori,1,nucl1284,language,indo1319,family,xd683
xd292,bib,1,biss1248,language,mand1469,family,xd292
xd252,bif,1,biaf1240,language,atla1278,family,xd252
xd202,bin,1,bini1246,language,atla1278,family,xd202
xd911,biy,1,birh1242,language,aust1305,family,xd911
xd157,bja,1,budz1238,language,atla1278,family,xd157
xd253,bjg,1,bidy1244,language,atla1278,family,xd253
xd420,bji,1,burj1242,language,afro1255,family,xd420
xd226,bjw,1,bakw1243,language,atla1278,family,xd226
xd926,bkc,1,baka1272,language,atla1278,family,xd926
xd175,bkh,1,bako1249,language,atla1278,family,xd175
xd176,bkm,1,komc1235,language,atla1278,family,xd176
xd183,bko,1,kwaa1265,language,atla1278,family,xd183
xd1400,bkq,1,baka1277,language,cari1283,family,xd1400
xd194,bky,1,boky1238,language,atla1278,family,xd194
xd1212,bla,3,bloo1239,dialect,algi1248,family,xd1212
xd1211,bla,3,pieg1239,dialect,algi1248,family,xd1211
xd1217,bla,3,pieg1239,dialect,algi1248,family,xd1217
xd1106,blc,1,bell1243,language,sali1255,family,xd1106
xd250,ble,1,bala1301,language,atla1278,family,xd250
xd350,bmi,1,bagi1246,language,cent2225,family,xd350
xd164,bmw,1,bomw1238,language,atla1278,family,xd164
xd168,bnm,1,bata1285,language,atla1278,family,xd168
xd733,bnn,1,bunu1267,language,aust1307,family,xd733
xd847,bnp,1,bola1250,language,aust1307,family,xd847
xd656,bod,1,tibe1272,language,sino1245,family,xd656
xd484,bol,1,nucl1695,language,afro1255,family,xd484
xd306,bom,1,bero1242,language,atla1278,family,xd306
xd1397,bor,1,boro1282,language,boro1281,family,xd1397
xd365,bot,1,bong1285,language,cent2225,family,xd365
xd295,boz,1,tiey1235,language,mand1469,family,xd295
xd812,bpg,1,bong1287,language,aust1307,family,xd812
xd740,bpr,1,koro1310,language,aust1307,family,xd740
xd607,bqi,1,bakh1245,language,indo1319,family,xd607
xd150,brf,2,bera1259,language,atla1278,family,xd150
xd154,brf,2,bera1259,language,atla1278,family,xd154
xd138,bri,1,mokp1239,language,atla1278,family,xd138
xd356,brm,1,bara1361,language,atla1278,family,xd356
xd257,bsc,1,bass1258,language,atla1278,family,xd257
xd435,bst,1,bask1236,language,gong1255,family,xd435
xd325,bta,1,bata1314,language,afro1255,family,xd325
xd286,bud,1,ntch1242,language,atla1278,family,xd286
xd805,buk,1,buga1250,language,aust1307,family,xd805
xd569,bul,1,bulg1262,language,indo1319,family,xd569
xd191,bun,1,sher1258,language,atla1278,family,xd191
xd151,buu,1,budu1250,language,atla1278,family,xd151
xd307,bux,1,bogh1241,language,afro1255,family,xd307
xd165,bvb,1,bube1242,language,atla1278,family,xd165
xd941,bvr,2,gunn1247,dialect,mani1293,family,xd941
xd774,bvr,2,gunn1248,dialect,mani1293,family,xd774
xd848,bwd,1,bwai1242,language,aust1307,family,xd848
xd326,bwr,1,bura1292,language,afro1255,family,xd326
xd275,bwu,1,buli1254,language,atla1278,family,xd275
xd111,bxk,1,buku1249,language,atla1278,family,xd111
xd57,byi,1,buyu1239,language,atla1278,family,xd57
xd445,byn,1,bili1260,language,afro1255,family,xd445
xd235,bza,1,band1352,language,mand1469,family,xd235
xd1321,bzd,1,brib1243,language,chib1249,family,xd1321
xd264,bze,1,jena1242,language,mand1469,family,xd264
xd301,bzw,2,basa1282,language,atla1278,family,xd301
xd1319,caa,1,chor1273,language,maya1287,family,xd1319
xd1323,cab,1,gari1256,language,araw1281,family,xd1323
xd1234,cad,2,cadd1256,language,cadd1255,family,xd1234
xd1242,cad,2,cadd1256,language,cadd1255,family,xd1242
xd1069,caf,1,sout2958,language,atha1245,family,xd1069
xd1311,cak,1,kaqc1270,language,maya1287,family,xd1311
xd830,cal,1,caro1242,language,aust1307,family,xd830
xd1364,cao,1,chac1251,language,pano1256,family,xd1364
xd1329,car,3,gali1262,language,cari1283,family,xd1329
xd1346,car,3,mura1272,dialect,cari1283,family,xd1346
xd1326,car,3,tyre1237,dialect,cari1283,family,xd1326
xd1376,cbi,1,chac1249,language,barb1265,family,xd1376
xd25,cce,2,copi1238,dialect,atla1278,family,xd25
xd319,ccg,1,samb1311,language,atla1278,family,xd319
xd299,cch,1,atsa1241,language,atla1278,family,xd299
xd697,ccp,1,chak1266,language,indo1319,family,xd697
xd672,cde,1,chen1255,language,drav1251,family,xd672
xd303,cdr,1,cind1241,language,atla1278,family,xd303
xd997,cea,1,lowe1427,language,sali1255,family,xd997
xd735,ceb,1,cebu1242,language,aust1307,family,xd735
xd1393,ceg,1,cham1315,language,zamu1243,family,xd1393
xd567,ces,1,czec1258,language,indo1319,family,xd567
xd80,cgg,1,chig1238,language,atla1278,family,xd80
xd839,cha,1,cham1312,language,aust1307,family,xd839
xd1379,chb,1,chib1270,language,chib1249,family,xd1379
xd1258,chc,1,cata1286,language,siou1252,family,xd1258
xd1300,chd,1,high1242,language,tequ1244,family,xd1300
xd583,che,1,chec1245,language,nakh1245,family,xd583
xd1078,chh,1,chin1286,language,chin1490,family,xd1078
xd833,chk,1,chuu1238,language,aust1307,family,xd833
xd1131,chl,1,cahu1264,language,utoa1244,family,xd1131
xd1247,cho,1,choc1276,language,musk1252,family,xd1247
xd1046,chp,1,chip1261,language,atha1245,family,xd1046
xd1254,chr,1,cher1273,language,iroq1247,family,xd1254
xd551,chv,1,chuv1255,language,turk1311,family,xd551
xd1224,chy,1,chey1247,language,algi1248,family,xd1224
xd1249,cic,1,chic1270,language,musk1252,family,xd1249
xd1052,ciw,2,redl1238,dialect,algi1248,family,xd1052
xd1054,ciw,2,uppe1274,dialect,algi1248,family,xd1054
xd36,cjk,1,chok1245,language,atla1278,family,xd36
xd718,cjm,1,east2563,language,aust1307,family,xd718
xd576,ckb,1,cent1972,language,indo1319,family,xd576
xd631,ckt,1,chuk1273,language,chuk1271,family,xd631
xd1206,clc,1,chil1280,language,atha1245,family,xd1206
xd1075,clm,1,clal1241,language,sali1255,family,xd1075
xd639,cmn,1,mand1415,language,sino1245,family,xd639
xd1269,coc,1,coco1261,language,coch1271,family,xd1269
xd1363,cod,1,coca1259,language,tupi1275,family,xd1363
xd1148,col,1,colu1241,language,sali1255,family,xd1148
xd1222,com,1,coma1245,language,utoa1244,family,xd1222
xd1073,coo,2,isla1276,dialect,sali1255,family,xd1073
xd1071,coo,2,slia1241,dialect,sali1255,family,xd1071
xd296,cou,1,wame1240,language,atla1278,family,xd296
xd1146,crd,1,coeu1236,language,sali1255,family,xd1146
xd1047,crj,4,sout2978,language,algi1248,family,xd1047
xd1062,crj,4,sout2978,language,algi1248,family,xd1062
xd1011,crj,4,sout2978,language,algi1248,family,xd1011
xd1005,crj,4,sout2978,language,algi1248,family,xd1005
xd1218,crk,1,plai1258,language,algi1248,family,xd1218
xd1223,cro,1,crow1244,language,siou1252,family,xd1223
xd1035,crx,1,carr1249,language,atha1245,family,xd1035
xd983,csi,1,coas1301,language,miwo1274,family,xd983
xd1065,csw,1,swam1239,language,algi1248,family,xd1065
xd1081,csz,1,coos1249,language,coos1248,family,xd1081
xd1369,cub,1,cube1242,language,tuca1253,family,xd1369
xd1132,cup,1,cupe1243,language,utoa1244,family,xd1132
xd95,cwe,1,kwer1261,language,atla1278,family,xd95
xd282,dag,1,dagb1246,language,atla1278,family,xd282
xd1220,dak,1,dako1258,language,siou1252,family,xd1220
xd679,daq,1,dand1238,language,drav1251,family,xd679
xd106,dav,1,tait1250,language,atla1278,family,xd106
xd954,dbl,2,mamu1253,dialect,pama1250,family,xd954
xd957,dbl,2,ngad1260,dialect,pama1250,family,xd957
xd956,ddj,1,jaru1254,language,pama1250,family,xd956
xd1255,dep,1,pidg1246,language,amer1257,family,xd1255
xd906,dgc,1,casi1235,language,aust1307,family,xd906
xd1032,dgr,1,dogr1252,language,atha1245,family,xd1032
xd873,dhv,1,dehu1237,language,aust1307,family,xd873
xd394,did,1,didi1258,language,surm1244,family,xd394
xd779,dif,1,dier1241,language,pama1250,family,xd779
xd99,dig,1,digo1243,language,atla1278,family,xd99
xd1137,dih,2,kumi1248,language,coch1271,family,xd1137
xd1271,dih,2,kumi1248,language,coch1271,family,xd1271
xd382,dil,1,dill1242,language,nubi1251,family,xd382
xd431,dim,1,dime1235,language,sout2845,family,xd431
xd47,diz,1,ding1239,language,atla1278,family,xd47
xd940,djb,1,djin1252,language,pama1250,family,xd940
xd470,dje,1,zarm1239,language,song1307,family,xd470
xd1344,djk,1,ndyu1242,language,indo1319,family,xd1344
xd237,dnj,2,dann1241,language,mand1469,family,xd237
xd231,dnj,2,gwee1242,dialect,mand1469,family,xd231
xd857,dob,1,dobu1241,language,aust1307,family,xd857
xd344,dow,1,doya1240,language,atla1278,family,xd344
xd450,doz,1,dorz1235,language,gong1255,family,xd450
xd302,dri,1,clel1238,language,atla1278,family,xd302
xd973,drl,1,darl1243,language,pama1250,family,xd973
xd421,drs,1,gede1246,language,afro1255,family,xd421
xd427,dsh,1,daas1238,language,afro1255,family,xd427
