ID,STANDARD SOCIETY NAME Binford,ISO693_3,LangNam,ISO_PAST (use with WLMS language GIS data),LangNam_PAST (use with WLMS language GIS data),LangFamily_R,Class2,Class3,ISO_Note,Prelim_BantuTreeName,Prelim_ANTreeName,Prelim_IETreeName,Prelim_UATreeName,Prelim_SemiticTreeName,Possible Bantoid society?,Possible Bantu society (narrow Bantu)?,Possible Austronesian society?,Possible Indo-European society?,Possible Uto-Aztecan society?,Possible Semitic society?
B91,Kakadu,gbu,Gagadu,gbu,Gagadu,Gunwingguan,Gagudjuan,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B92,Nunggubuyu,nuy,Nunggubuyu,nuy,Nunggubuyu,Gunwingguan,Enindhilyagwa,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B93,Yintjingga,zmv,Mbariman-Gudhinma,zmv,Mbariman-Gudhinma,Pama-Nyungan,Paman,Mbariman,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B94,Yir-yoront,yiy,Yir Yoront,yiy,Yir Yoront,Pama-Nyungan,Paman,Yir Yoront,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B95,Tiwi,tiw,Tiwi,tiw,Tiwi,Tiwian,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B96,Kuku (Yalanji),gvn,Kuku-Yalanji,gvn,Kuku-Yalanji,Pama-Nyungan,Yalandyic,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B97,Groote Eylandt,aoi,Anindilyakwa,aoi,Anindilyakwa,Gunwingguan,Enindhilyagwa,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B98,Walmbaria,fln,Flinders Island,fln,Flinders Island,Pama-Nyungan,Flinders Island,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B99,Mulluk,mpb,Mullukmulluk,mpb,Mullukmulluk,Daly,Malagmalag,Malagmalag Proper,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B100,Worora,wro,Worrorra,unp,Worora,Worrorran,Western Worrorran,NA,or xgu,NA,NA,NA,NA,NA,0,0,0,0,0,0
B101,Lungga,lga,Lungga,lga,Lungga,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,NA,NA,Check,NA,NA,NA,0,0,1,0,0,0
B102,Lardil,lbz,Lardil,lbz,Lardil,Pama-Nyungan,Lardil,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B103,Kaiadilt,gyd,Kayardild,gyd,Kayardild,Pama-Nyungan,Tangic,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B104,Karadjeri,gbd,Karadjeri,gbd,Karadjeri,Pama-Nyungan,South-West,Marngu,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B105,Mamu,dbl,Dyirbal,dbl,Dyirbal,Pama-Nyungan,Dyirbalic,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B106,Kariera,vka,Kariyarra,vka,Kariyarra,Pama-Nyungan,South-West,Coastal Ngayarda,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B107,Warunggu,wrg,Warungu,wrg,Warungu,Pama-Nyungan,Maric,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B108,Djaru,ddj,Jaru,ddj,Jaru,Pama-Nyungan,South-West,Ngumbin,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B109,Walbiri,wbp,Warlpiri,wbp,Warlpiri,Pama-Nyungan,South-West,Ngarga,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B110,Ngatjan,dbl,Dyirbal,dbl,Dyirbal,Pama-Nyungan,Dyirbalic,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B111,Mardudjara,mpj,Martu Wangka,mpj,Martu Wangka,Pama-Nyungan,South-West,Wati,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B112,Ildawongga,ywg,Yinhawangka,NO_ISO,NO_ISO,Pama-Nyungan,South-West,Inland Ngayarda,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B113,Pintubi,piu,Pintupi-Luritja,piu,Pintupi-Luritja,Pama-Nyungan,South-West,Wati,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B114,Undanbi,wkw,Wakawaka,wkw,Wakawaka,Pama-Nyungan,Waka-Kabic,Miyan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B115,Jinibarra,yxg,Yagara,NO_ISO,NO_ISO,Pama-Nyungan,Durubulic,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B116,Karuwali,rxw,Karuwali,NO_ISO,NO_ISO,Pama-Nyungan,Karnic,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B117,Alyawara,aly,Alyawarr,aly,Alyawarr,Pama-Nyungan,Arandic,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B118,Ngatatjara,ntj,Ngaanyatjarra,ntj,Ngaanyatjarra,Pama-Nyungan,South-West,Wati,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B119,Badjalang,bdy,Bandjalang,bdy,Bandjalang,Pama-Nyungan,Bandjalangic,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B120,Pitjandjara,pjt,Pitjantjatjara,pjt,Pitjantjatjara,Pama-Nyungan,South-West,Wati,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B121,Dieri,dif,Dieri,dif,Dieri,Pama-Nyungan,Karnic,Karna,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B122,Southern Arenda,axl,"Aranda, Lower Southern",NO_ISO,NO_ISO,Pama-Nyungan,Arandic,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B123,Jankundjara,kdd,Yankunytjatjara,kdd,Yankunytjatjara,Pama-Nyungan,South-West,Wati,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B124,Northern Arenda,aer,"Arrernte, Eastern",aer,"Arrernte, Eastern",Pama-Nyungan,Arandic,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B125,Ualarai,kld,Gamilaraay,kld,Gamilaraay,Pama-Nyungan,Wiradhuric,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B126,Nakako,pjt,Pitjantjatjara,pjt,Pitjantjatjara,Pama-Nyungan,South-West,Wati,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B127,Ooldea,wgu,Wirangu,NO_ISO,NO_ISO,Pama-Nyungan,South-West,Yura,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B128,Barkindji,drl,Paakantyi,drl,Darling,Pama-Nyungan,Baagandji,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B129,Kaurna,zku,Kaurna,NO_ISO,NO_ISO,Pama-Nyungan,NA,NA,Not in Ethnologue,NA,NA,NA,NA,NA,0,0,0,0,0,0
B130,Wongaibon,wyb,Wangaaybuwan-Ngiyambaa,wyb,Wangaaybuwan-Ngiyambaa,Pama-Nyungan,Wiradhuric,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B131,Jaralde,nay,Narrinyeri,nay,Narrinyeri,Pama-Nyungan,Ngarinyeric-Yithayithic,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B132,Mineng,xrg,Minang,NO_ISO,NO_ISO,Pama-Nyungan,South-West,Nyungar,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B133,Tjapwurong,tjw,Djabwurrung,NO_ISO,NO_ISO,Pama-Nyungan,Kulin,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B134,Bunurong,0hq,Bunwurrung,NO_ISO,NO_ISO,Pama-Nyungan,NA,NA,"No ISO code, Not in Ethnologue",NA,NA,NA,NA,NA,0,0,0,0,0,0
B135,Kurnai,unn,Kurnai,NO_ISO,NO_ISO,Pama-Nyungan,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B136,Tasmanians (eastern),xtz,Tasmanian,NO_ISO,NO_ISO,Unclassified,NA,NA,EXTINCT,NA,NA,NA,NA,NA,0,0,0,0,0,0
B137,Tasmanians (western),xtz,Tasmanian,NO_ISO,NO_ISO,Unclassified,NA,NA,EXTINCT,NA,NA,NA,NA,NA,0,0,0,0,0,0
B143,Seri,sei,Seri,sei,Seri,Language isolate,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B144,Cahuilla,chl,Cahuilla,chl,Cahuilla,Uto-Aztecan,Northern Uto-Aztecan,Takic,NA,NA,NA,NA,Cahuilla,NA,0,0,0,0,1,0
B145,Cupeno,cup,Cupeño,cup,Cupeno,Uto-Aztecan,Northern Uto-Aztecan,Takic,NA,NA,NA,NA,Cupeno,NA,0,0,0,0,1,0
B146,Kiliwa,klb,Kiliwa,klb,Kiliwa,Cochimí-Yuman,Yuman,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B147,Diegueno,dih,Kumiai,dih,Kumiai,Cochimí-Yuman,Yuman,Delta-California,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B148,Lake Yokuts,yok,Yokuts,yok,Yokuts,Yokutsan,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B149,Serrano,ser,Serrano,ser,Serrano,Uto-Aztecan,Northern Uto-Aztecan,Takic,NA,NA,NA,NA,Serrano,NA,0,0,0,0,1,0
B150,Luiseno,lui,Luiseño,lui,Luiseno,Uto-Aztecan,Northern Uto-Aztecan,Takic,NA,NA,NA,NA,Luiseno,NA,0,0,0,0,1,0
B151,Wukchumi,yok,Yokuts,yok,Yokuts,Yokutsan,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B152,Tubatulabal,tub,Tübatulabal,tub,Tubatulabal,Uto-Aztecan,Northern Uto-Aztecan,NA,NA,NA,NA,NA,Tubatulabel,NA,0,0,0,0,1,0
B153,Nomlaki,nol,Nomlaki,wit,Wintu,Wintuan,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B154,Yokuts (northern foothill),yok,Yokuts,yok,Yokuts,Yokutsan,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B155,Patwin,pwi,Patwin,wit,Wintu,Wintuan,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B156,Gabrieleno,xgf,Gabrielino-Fernandeño,xgf,Gabrielino-Fernandeño,Uto-Aztecan,Northern Uto-Aztecan,Takic,EXTINCT,NA,NA,NA,Gabrielino,NA,0,0,0,0,1,0
B157,Monache,mnr,Mono,mnr,Mono,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,Mono,NA,0,0,0,0,1,0
B158,Eastern Pomo,peb,"Pomo, Eastern",peb,"Pomo, Eastern",Pomoan,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B159,Clear Lake Pomo,peb,"Pomo, Eastern",peb,"Pomo, Eastern",Pomoan,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B160,Wintu,wnw,Wintu,wit,Wintu,Wintuan,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B161,Chumash,crz,Cruzeño,crz,Cruzeño,Chumashan,Island Chumash,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B162,Chimariko,cid,Chimariko,cid,Chimariko,Language isolate,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B163,Nisenan,nsz,Nisenan,nsz,Nisenan,Maiduan,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B164,Salinan,sln,Salinan,sln,Salinan,Language isolate,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B165,Southern Pomo,peq,"Pomo, Southern",peq,"Pomo, Southern",Pomoan,Western,Southern,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B166,Sinkyone,wlk,Wailaki,wlk,Wailaki,Eyak-Athabaskan,Athabaskan,Pacific Coast Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
