Dataset,soc_id,VarID,Code,Comment
EA,Ai24,Elevation,585.9233332,
EA,Ai25,Elevation,462.535576,
EA,Ai26,Elevation,458.4875998,
EA,Ai27,Elevation,687.4249028,
EA,Ai28,Elevation,527.5291467,
EA,Ai29,Elevation,1253.221777,
EA,Ai3,Elevation,683.541663,
EA,Ai30,Elevation,940.9149862,
EA,Ai31,Elevation,1159.709637,
EA,Ai32,Elevation,1011.341796,
EA,Ai33,Elevation,792.7228926,
EA,Ai34,Elevation,757.5970902,
EA,Ai35,Elevation,455.9384812,
EA,Ai36,Elevation,447.9474046,
EA,Ai37,Elevation,714.3983256,
EA,Ai38,Elevation,407.9275371,
EA,Ai39,Elevation,550.6091419,
EA,Ai4,Elevation,694.2988371,
EA,Ai40,Elevation,550.6091419,
EA,Ai41,Elevation,550.6091419,
EA,Ai42,Elevation,619.4128396,
EA,Ai43,Elevation,619.4128396,
EA,Ai44,Elevation,465.0347467,
EA,Ai45,Elevation,912.4143408,
EA,Ai46,Elevation,1504.852393,
EA,Ai47,Elevation,1504.852393,
EA,Ai5,Elevation,924.649839,
EA,Ai6,Elevation,395.4599446,
EA,Ai7,Elevation,772.9924845,
EA,Ai8,Elevation,656.2234731,
EA,Ai9,Elevation,346.2116228,
EA,Aj1,Elevation,1133.331917,
EA,Aj10,Elevation,1011.341796,
EA,Aj11,Elevation,393.9530765,
EA,Aj12,Elevation,1116.657644,
EA,Aj13,Elevation,901.8679502,
EA,Aj14,Elevation,901.8679502,
EA,Aj15,Elevation,792.7228926,
EA,Aj16,Elevation,469.3016665,
EA,Aj17,Elevation,869.0320153,
EA,Aj18,Elevation,579.3564979,
EA,Aj19,Elevation,1207.481358,
EA,Aj2,Elevation,1057.474815,
EA,Aj20,Elevation,937.2761163,
EA,Aj21,Elevation,1219.1997,
EA,Aj22,Elevation,1219.1997,
EA,Aj23,Elevation,1375.578733,
EA,Aj24,Elevation,599.2616749,
EA,Aj25,Elevation,2204.778224,
EA,Aj26,Elevation,1375.578733,
EA,Aj27,Elevation,1867.520637,
EA,Aj28,Elevation,1284.003737,
EA,Aj29,Elevation,1226.455081,
EA,Aj3,Elevation,412.214169,
EA,Aj30,Elevation,1133.331917,
EA,Aj31,Elevation,642.4400595,
EA,Aj4,Elevation,1061.870595,
EA,Aj5,Elevation,638.6718182,
EA,Aj6,Elevation,1314.217617,
EA,Aj7,Elevation,1848.29882,
EA,Aj8,Elevation,590.0337323,
EA,Aj9,Elevation,1729.200524,
Binford,B1,Elevation,562.9147648,
Binford,B10,Elevation,12.68006284,
Binford,B100,Elevation,40.95267763,
Binford,B101,Elevation,425.7927149,
Binford,B102,Elevation,1.179883354,
Binford,B103,Elevation,2.750332414,
Binford,B104,Elevation,28.38663832,
Binford,B105,Elevation,469.3644832,
Binford,B106,Elevation,56.92596087,
Binford,B107,Elevation,443.5417813,
Binford,B108,Elevation,393.1820553,
Binford,B109,Elevation,374.9417105,
Binford,B11,Elevation,439.0477719,
Binford,B110,Elevation,410.1688018,
Binford,B111,Elevation,352.9967461,
Binford,B112,Elevation,414.7319251,
Binford,B113,Elevation,405.104693,
Binford,B114,Elevation,21.26287282,
Binford,B115,Elevation,138.278264,
Binford,B116,Elevation,172.9599382,
Binford,B117,Elevation,457.517528,
Binford,B118,Elevation,494.2807021,
Binford,B119,Elevation,247.0417161,
Binford,B12,Elevation,313.3282504,
Binford,B120,Elevation,666.8739575,
Binford,B121,Elevation,26.87019657,
Binford,B122,Elevation,126.3322143,
Binford,B123,Elevation,477.2823361,
Binford,B124,Elevation,636.6984877,
Binford,B125,Elevation,134.7403552,
Binford,B126,Elevation,446.1595615,
Binford,B127,Elevation,164.7337637,
Binford,B128,Elevation,88.32493912,
Binford,B129,Elevation,12.01584979,
Binford,B13,Elevation,313.3282504,
Binford,B130,Elevation,308.5792931,
Binford,B131,Elevation,65.22746424,
Binford,B132,Elevation,143.6969749,
Binford,B133,Elevation,115.1261939,
Binford,B134,Elevation,36.16869107,
Binford,B135,Elevation,266.1772863,
Binford,B136,Elevation,268.4807737,
Binford,B137,Elevation,280.8689786,
Binford,B14,Elevation,142.9864359,
Binford,B143,Elevation,295.1158423,
Binford,B144,Elevation,662.672646,
Binford,B145,Elevation,804.1660065,
Binford,B146,Elevation,772.0202368,
Binford,B147,Elevation,907.4281631,
Binford,B148,Elevation,179.8790893,
Binford,B149,Elevation,941.6777898,
Binford,B15,Elevation,459.6938577,
Binford,B150,Elevation,275.667023,
Binford,B151,Elevation,1393.016671,
Binford,B152,Elevation,1657.812682,
Binford,B153,Elevation,941.9539637,
Binford,B154,Elevation,199.135852,
Binford,B155,Elevation,204.6218981,
Binford,B156,Elevation,300.6870192,
Binford,B157,Elevation,1121.159133,
Binford,B158,Elevation,772.3759716,
Binford,B159,Elevation,772.3759716,
Binford,B16,Elevation,396.506638,
Binford,B160,Elevation,578.4581814,
Binford,B161,Elevation,715.1112068,
Binford,B162,Elevation,1141.907976,
Binford,B163,Elevation,470.7789868,
Binford,B164,Elevation,155.1800701,
Binford,B165,Elevation,412.392426,
Binford,B166,Elevation,601.2416609,
Binford,B167,Elevation,1036.707173,
Binford,B168,Elevation,145.6175094,
Binford,B169,Elevation,156.7646359,
Binford,B17,Elevation,350.9673291,
Binford,B170,Elevation,261.6487683,
Binford,B171,Elevation,843.280323,
Binford,B172,Elevation,412.392426,
Binford,B173,Elevation,554.7899185,
Binford,B174,Elevation,831.7127766,
Binford,B175,Elevation,1685.105711,
Binford,B176,Elevation,817.3616254,
Binford,B177,Elevation,332.5334959,
Binford,B178,Elevation,800.2725115,
Binford,B179,Elevation,1220.722256,
Binford,B18,Elevation,788.2796011,
Binford,B180,Elevation,703.5599015,
Binford,B181,Elevation,324.9402603,
Binford,B182,Elevation,1148.561815,
Binford,B183,Elevation,1545.963057,
Binford,B184,Elevation,146.6388486,
Binford,B185,Elevation,1658.992952,
Binford,B186,Elevation,708.775518,
Binford,B187,Elevation,1379.096467,
Binford,B188,Elevation,1385.508091,
Binford,B189,Elevation,1564.732677,
Binford,B19,Elevation,705.100973,
