ISO 693-3 code,Language name,FAMILY-CORRECTED,Classification,Class1,Class2,Class3,,,
nbh,Ngamo,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",Afro-Asiatic,Chadic,West,,,
kai,Karekare,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Karekare",Afro-Asiatic,Chadic,West,,,
kna,Dera,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Tangale, Dera",Afro-Asiatic,Chadic,West,,,
kuh,Kushi,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Tangale, Tangale Proper",Afro-Asiatic,Chadic,West,,,
kpa,Kutto,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Tangale, Tangale Proper",Afro-Asiatic,Chadic,West,,,
ksq,Kwaami,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Tangale, Tangale Proper",Afro-Asiatic,Chadic,West,,,
pip,Pero,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Tangale, Tangale Proper",Afro-Asiatic,Chadic,West,,,
piy,Piya-Kwonci,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Tangale, Tangale Proper",Afro-Asiatic,Chadic,West,,,
tan,Tangale,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Tangale, Tangale Proper",Afro-Asiatic,Chadic,West,,,
anc,Ngas,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 1",Afro-Asiatic,Chadic,West,,,
cky,Cakfem-Mushere,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 1",Afro-Asiatic,Chadic,West,,,
jrt,Jorto,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 1",Afro-Asiatic,Chadic,West,,,
kwl,Kofyar,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 1",Afro-Asiatic,Chadic,West,,,
mjs,Miship,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 1",Afro-Asiatic,Chadic,West,,,
sur,Mwaghavul,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 1",Afro-Asiatic,Chadic,West,,,
ank,Goemai,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 2",Afro-Asiatic,Chadic,West,,,
kcs,Koenoem,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 2",Afro-Asiatic,Chadic,West,,,
mtl,Montol,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 2",Afro-Asiatic,Chadic,West,,,
pcw,Pyapun,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 2",Afro-Asiatic,Chadic,West,,,
tal,Tal,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 2",Afro-Asiatic,Chadic,West,,,
gek,Yiwom,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.3, Yiwom",Afro-Asiatic,Chadic,West,,,
fie,Fyer,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.4, Fyer",Afro-Asiatic,Chadic,West,,,
tdk,Tambas,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.4, Fyer",Afro-Asiatic,Chadic,West,,,
