ID,STANDARD SOCIETY NAME Binford,801_FULL_NAME,807_FULLNAME,804_FULLNAME,603_FULLNAME,901_FULLNAME,,
B320,Coeur d'Alene,COEUR D'ALENE,COEUR D'ALENE,COEUR D'ALENE,,Coeur d'Alene,,
B321,Sinkaietk,SINKAIETK,SINKAIETK,SINKAIETK,,Sinkaietk,,
B322,Okanagan,OKANAGON,0,OKANAGAN,,Okanagon,,
B323,Sanpoil,SANPOIL,SANPOIL,SANPOIL,,Sanpoil,,
B324,Nez Perce,NEZ PEACE,NEZ PEACE,,,Nez Perce,,
B325,Thompson,THOMPSON,THOMPSON,,THOMPSON,Thompson,,
B326,Kalispel,KALISPEL,0,,,Kalispel,,
B327,Kitchibaun Ojibwa,KITCHIBUAN,KITCHIBUAN,KITCHIBUAN,,Kitchibaun,,
B328,Katikitegon,KATIKITEGON,KATIKITEGON,KATIKITEGON,,Katikitegon,,
B329,Micmac,MICMAC,MICMAC,MICMAC,MICMAC,Micmac,,
B330,Flathead,FLATHEAD,FLATHEAD,,,Flathead,,
B331,Rainy River Ojibwa,RAINY RIVER OJIBWA,RAINY RIVER,RAINY RIVER OJIBWA,,Rainy River Ojibwa,,
B332,North Saulteaux,NORTH SALTEAUX,NORTH SAULTEAUX,NORTH SALTEAUX,NORTH SALTEAUX,North Saulteaux,,
B333,Shuswap,SHUSWAP,SHUSWAP,SHUSWAP,SHUSWAP,Shuswap,,
B334,Pekangekum Ojibwa,PEKANGEKUM OJIBWA,PEKANGEKUM,,PEKANGEKUM,Pekangekum,,
B335,Round Lake Ojibwa,ROUND LAKE OJIBWA,ROUND LAKE OJIBWA,,ROUND LAKE,Round Lake Ojibwa,,
B336,Allcatcho,ALKATCHO,0,ALKATCHO,,Allcatcho,,
B337,Nipigon Ojibwa,NIPIGON OJIBWA,NIPIGON,NIPIGON,,Ojibwa Nipigon,,
B338,Mistassini Cree,MISTASSINI CREE,MISTASSINI CABE,MISTASSINI CREE,MISTASSINI CREE,Mistassini Cree,,
B339,North Albany Ojibwa,NORTH ALBANY OJIBWA,0,NORTH ALBANY OJIBWA,,Northern Ojibwa (Albany),,
B340,Waswanipi Cree,WASWANIPPI CREE,WASWANIPI CREE,,,Waswanipi Cree,,
B341,Wegamon Ojibwa,WEAGAMON OJIBWA,WEGAMON OJIBWA,,OJIBWA WEAGAMON,Ojibwa-weagamon,,
B342,Montagnais,MONTAGNAIS,MONTAGNAIS,MONTAGNAIS,,Montagnais,,
B343,Sekani,SEKANI,SEKANI,SEKANI,SEKANI,Sekani,,
B344,Beaver,BEAVER,BEAVER,BEAVER,BEAVER,Beaver,,
B345,Slave,SLAVE,SLAVE,SLAVE,,Slave,,
B346,Kaska,KASKA,KASKA,KASKA,,Kaska,,
