soc_id,region,tdwg_code
Nf11,North-Central U.S.A.,74
Nf12,North-Central U.S.A.,74
Ne20,North-Central U.S.A.,74
Ne8,North-Central U.S.A.,74
Nf2,North-Central U.S.A.,74
Ne10,North-Central U.S.A.,74
Nf14,Southeastern U.S.A.,78
Nf7,North-Central U.S.A.,74
Nf6,North-Central U.S.A.,74
Nf5,South-Central U.S.A.,77
Ng5,Southeastern U.S.A.,78
Ng1,Eastern Canada,72
Ng10,Northeastern U.S.A.,75
Nh13,South-Central U.S.A.,77
Nh7,South-Central U.S.A.,77
Nh14,South-Central U.S.A.,77
Nh12,South-Central U.S.A.,77
Nf8,South-Central U.S.A.,77
Nb33,Southwestern U.S.A.,76
Nc26,Southwestern U.S.A.,76
Nb34,Northwestern U.S.A.,73
Nc18,Southwestern U.S.A.,76
Nc17,Southwestern U.S.A.,76
Nc19,Southwestern U.S.A.,76
Nc10,Southwestern U.S.A.,76
Nc4,Southwestern U.S.A.,76
Nb32,Southwestern U.S.A.,76
Nh19,Mexico,79
Nc6,Mexico,79
Nd3,Southwestern U.S.A.,76
Ng2,Southeastern U.S.A.,78
Nh23,Southwestern U.S.A.,76
Nc34,Mexico,79
Nh5,Southwestern U.S.A.,76
Nh21,Southwestern U.S.A.,76
Nh20,Southwestern U.S.A.,76
Nh25,South-Central U.S.A.,77
Nd66,Southwestern U.S.A.,76
Nh22,Southwestern U.S.A.,76
Nc11,Southwestern U.S.A.,76
Nj2,Mexico,79
Ni3,Mexico,79
Nj9,Mexico,79
Ni2,Mexico,79
Ni6,Mexico,79
Ni1,Mexico,79
Ni7,Mexico,79
Nd46,Northwestern U.S.A.,73
Nd49,Southwestern U.S.A.,76
Nd23,Northwestern U.S.A.,73
Nd63,Northwestern U.S.A.,73
Nd33,Southwestern U.S.A.,76
Nd45,Northwestern U.S.A.,73
Nc31,Southwestern U.S.A.,76
Nd54,Southwestern U.S.A.,76
Ne3,South-Central U.S.A.,77
Nc32,Southwestern U.S.A.,76
Nd30,Southwestern U.S.A.,76
Nd42,Southwestern U.S.A.,76
Nd38,Southwestern U.S.A.,76
Nc29,Southwestern U.S.A.,76
Nd48,Southwestern U.S.A.,76
Nd37,Southwestern U.S.A.,76
Nh18,Southwestern U.S.A.,76
Nd5,Northwestern U.S.A.,73
Nd53,Southwestern U.S.A.,76
Nc27,Southwestern U.S.A.,76
Nd24,Northwestern U.S.A.,73
Nd31,Southwestern U.S.A.,76
Nd27,Southwestern U.S.A.,76
Nd55,Southwestern U.S.A.,76
Nd34,Southwestern U.S.A.,76
Nc33,Southwestern U.S.A.,76
Nd35,Southwestern U.S.A.,76
Nd60,Northwestern U.S.A.,73
Nd59,Southwestern U.S.A.,76
Nd51,Southwestern U.S.A.,76
Nc23,Southwestern U.S.A.,76
Nd57,Southwestern U.S.A.,76
Nd32,Southwestern U.S.A.,76
Nd50,Southwestern U.S.A.,76
Nd56,Southwestern U.S.A.,76
Nd25,Southwestern U.S.A.,76
Nc30,Southwestern U.S.A.,76
Nd52,Southwestern U.S.A.,76
Nd2,Northwestern U.S.A.,73
Nd39,Southwestern U.S.A.,76
Nd21,Northwestern U.S.A.,73
Nd61,Northwestern U.S.A.,73
